ID	Source	Change	Target
ID68	Che ajavy'imi heta mba'épe	TYPE:NEG	Che ndajavy'íri heta mba’épe
ID69	Che ajavy'imi heta mba'épe	ASPECT:IPFV	Che ajavy’i'aína heta mba’épe
ID70	Che ajavy'imi heta mba'épe	TENSE:FUT_SIM	Che ajavy'imíta heta mba’épe
ID71	Che ajavy'imi heta mba'épe	TENSE:PRE_SIM	Che ajavy'imi heta mba’épe
ID72	Che ajavy'imi heta mba'épe	PERSON:2_PL	Pe? pejavy'imi heta mba’épe
ID73	Che ajavy'imi heta mba'épe	PERSON:1_SI_INC	Ñande jajavy'imi heta mba’épe 
ID74	Che ajavy'imi heta mba'épe	PERSON:1_SI_EXC	Ore rojavy'imi heta mba’épe
ID75	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	TYPE:AFF	Ore roikuave’? umi tembi’ukuéra pytagua
ID76	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	ASPECT:IPFV	Ore noroikuave’?ihína umi tembi’ukuéra pytagua
ID77	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	ASPECT:INM	Ore noroikuave’?ihikóni umi tembi’ukuéra pytagua
ID78	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	TENSE:PAS_IMP	Ore noroikuave’?imi umi tembi’ukuéra pytagua
ID79	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	PERSON:1_PL_INC	Ñande nañaikuave’?i umi tembi’ukuéra pytagua
ID80	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	PERSON:1_SI	Che naikuave’?i umi tembi’ukuéra pytagua
ID81	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	PERSON:2_PL	Pe? ndaikuave’?i umi tembi’ukuéra pytagua
ID82	Nde reñembosaraireína	ASPECT:-	Che añembosarái
ID83	Nde reñembosaraireína	TYPE:NEG	Nde nereñembosaráiri
ID84	Nde reñembosaraireína	PERSON:1_SI	Che añembosarai'aína
ID85	Nde reñembosaraireína	ASPECT:INM	Nde reñembosaraireikóni
ID86	Nde reñembosaraireína	TENSE:FUT_SIM	Nde reñembosaráita
ID87	Nde reñembosaraireína	TENSE:PAS_REC	Nde reñembosaráikuri
ID88	Nde reñembosaraireína	PERSON:3_PL	Ha'ekuéra oñembosaraihína
ID89	Amo oñemúva osapukáikuri	TYPE:NEG	Amo oñemúva ndosapukáirikuri
ID90	Amo oñemúva osapukáikuri	PERSON:3_PL	Ha'e osapukáikuri
ID91	Amo oñemúva osapukáikuri	TENSE:FUT_SIM	Amo oñemúva osapukáta 
ID92	Amo oñemúva osapukáikuri	ASPECT:IPFV	Amo oñemúva osapukaihína
ID93	Amo oñemúva osapukáikuri	TENSE:PAS_PLU	Amo oñemúva osapukaiva’ekue
ID94	Jaguarete katu itáicha okirir?.	PERSON:1_SI	Che itáicha akirir? 
ID95	Jaguarete katu itáicha okirir?.	PERSON:2_SI	Nde itáicha rekirir? 
ID96	Jaguarete katu itáicha okirir?.	TYPE:NEG	Jaguarete katu itáicha nokirir?ri
ID97	Jaguarete katu itáicha okirir?.	TENSE:FUT_SIM	Jaguarete katu itáicha okiriríta
ID98	Pakova roguépe omo’â hembi’ukuéra.	TYPE:NEG	Pakova roguépe che namo’ãi che rembi’ukuéra
ID99	Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_PL	Pakova roguépe pe? pemo’ã pene rembi’ukuéra
ID100	Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_SI	Pakova roguépe nde remo’ã pene rembi’ukuéra
ID101	Pakova roguépe omo’â hembi’ukuéra.	PERSON:1_SI	Pakova roguépe che namo’ãi pene hembi’ukuéra
ID102	Ha'e ojupíkuri	PERSON:1_SI	Che ajupíkuri
ID103	Ha'e ojupíkuri	PERSON:1_PL_INC	Ñande jajupíkuri
ID104	Ha'e ojupíkuri	ASPECT:IPFV	Ha'e ojupihína
ID105	Ha'e ojupíkuri	ASPECT:INM	Ha'e ojupihikóni
ID106	Ha'e ojupíkuri	TENSE:FUT_SIM	Ha'e ojupíta
ID107	Ha'e ojupíkuri	PERSON:2_SI	Nde rejupíkuri
ID108	Ha'e ojupíkuri	TYPE:NEG	Ha'e ndojupíri
ID109	Che mba’éma ko ykua	PERSON:2_SI	Ne mba’éma ko ykua
ID110	Che mba’éma ko ykua	PERSON:1_SI_INC	Ñane mba’éma ko ykua
ID111	Che mba’éma ko ykua	PERSON:1_SI_EXC	Ore mba’éma ko ykua
ID112	Che mba’éma ko ykua	TYPE:NEG	Nachemba’éi ko ykua
ID113	Che mba’éma ko ykua	TENSE:FUT_SIM	Che mba’éta ko ykua
ID114	Ha'e nembojarúta	TYPE:AFF	Ha’e nembojarúta
ID115	Ha'e nembojarúta	PERSON:2_SI	Nde rembojarúta
ID116	Ha'e nembojarúta	TENSE:PAS_REC	Ha’e nembojarúkuri
ID117	Ha'e nembojarúta	ASPECT:IPFV	Ha’e nembojaruhína
ID118	Ha'e nembojarúta	PERSON:1_SI	Che rombojarúta
ID119	Ha’e oguapy	PERSON:3_PL	Ha’ekuéra oguapy
ID120	Ha’e oguapy	TYPE:NEG	Ha’e ndoguapýi
ID121	Ha’e oguapy	PERSON:1_SI	Che aguapy
ID122	Ha’e oguapy	PERSON:2_SI	Nde reguapy
ID123	Ha’e oguapy	PERSON:2_PL	Pe? peguapy
ID124	Ha’e oguapy	TENSE:FUT_SIM	Ha’e oguapýta
ID125	Ha’e oguapy	TENSE:PAS_PLU	Ha’e oguapyva'ekue
ID126	Ha’e oguapy	TENSE:PAS_REC	Ha’e oguapýkuri
ID127	Nde neremoheñóiri	TYPE:AFF	Nde remoheñói
ID128	Nde neremoheñóiri	TENSE:PAS_REC, TYPE:AFF	Nde remoheñóikuri
ID129	Nde neremoheñóiri	PERSON:1_PL_INC	Ñande nañamoheñóiri
ID130	Nde neremoheñóiri	PERSON:3_PL	Ha'ekuéra nomoheñóiri
ID131	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TYPE:AFF	Ha'e ombotujúmi che ogyke-Ha'e ombyaími che ogyke
ID132	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TENSE:PAS_REC	Ha'e nombotujúikuri che ogyke-Ha'e nombyaírikuri che ogyke
ID133	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	PERSON:2_SI	Nde nerembotujúimi che ogyke-Nde rembyaírimi che ogyke
ID134	Ha'e nombotujámi che ogyke-Ha'e nombyaírimi che ogyke	PERSON:1_PL_INC	Ñande nañambotujúimi che ogyke-Ñande nañambyaírimi che ogyke
ID135	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TENSE:FUT_SIM	Ha'e nombotujumo'ãi che ogyke-Ha'e nombyaimo'ãi che ogyke
ID136	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TENSE:PAS_PLU	Ha'e nombotujúiva'ekue che ogyke-Ha'e nombyaíriva'ekue che ogyke
ID137	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	PERSON:1_SI, TENSE:FUT_SIM	Che nambotujumo'ãi che ogyke-Che nambyaímo'ãi che ogyke
ID138	Ore roikómi	PERSON:2_SI	Nde reikómi
ID139	Ore roikómi	TYPE:NEG	Nde ndereikóimi
ID140	Ore roikómi	TENSE:PRE_SIM	Ore roiko
ID141	Ore roikómi	PERSON:1_SI	Che aikómi
ID142	Oipuru hikuái ka’a ha ho’u terere.	PERSON:1_PL_INC	Ñande jaiporú ka'a ha ja'u terere
ID143	Oipuru hikuái ka’a ha ho’u terere.	TYPE:NEG	Ha'ekuéra ndoiporúi ka'a ha ndo'úi terere
ID144	Oipuru hikuái ka’a ha ho’u terere.	PERSON:2_SI	Nde reiporu ka'a ha re'u terere
ID145	Oipuru hikuái ka’a ha ho’u terere.	TENSE:FUT_SIM	Ha'ekuéra oiporúta ka'a ha ho'úta  terere
ID146	Ko mombe'upy ohendukákuri chéve che ru	TYPE:NEG	Ko mombe'upy nohendukáikuri chéve che ru
ID147	Ko mombe'upy ohendukákuri chéve che ru	PERSON:2_SI	Ko mombe'upy ohendukákuri ndéve che ru
ID148	Ko mombe'upy ohendukákuri chéve che ru	PERSON:2_PL	Ko mombe'upy ohendukákuri pe?me  che ru
ID149	Ko mombe'upy ohendukákuri chéve che ru	TENSE:FUT_SIM	Ko mombe'upy ohendukáta chéve che ru
ID150	Ko mombe'upy ohendukákuri chéve che ru	TENSE:PRE_SIM	Ko mombe'upy ohenduka chéve che ru
ID151	Upérõ (che) añani'aínakuri	TENSE:PRE_SIM	Upérõ (che) añani
ID152	Upérõ (che) añani'aínakuri	TENSE:FUT_SIM	Upérõ (che) añaníta
ID153	Upérõ (che) añani'aínakuri	TENSE:PAS_PLU	Upérõ (che) añaniva'ekue
ID154	Upérõ (che) añani'aínakuri	PERSON:2_SI	Upérõ (nde) reñanireínakuri
ID155	Upérõ (che) añani'aínakuri	PERSON:1_PL_INC	Upérõ (ore) roñanroínakuri
ID156	Oik?mbymi hikuái	TENSE:PAS_REC	Oik?mbýkuri hikuái
ID157	Oik?mbymi hikuái	TENSE:FUT_SIM	Oik?mbýta hikuái
ID158	Oik?mbymi hikuái	PERSON:1_PL_INC	Ñaik?mbými
ID159	Oik?mbymi hikuái	PERSON:1_SI	Che aik?mbými
ID160	Oik?mbymi hikuái	TYPE:NEG	Noik?mbýrimi hikuái
ID161	Nde nderejapói	TYPE:AFF	Nde rejapo
ID162	Nde nderejapói	TENSE:PAS_REC, TYPE:AFF	Nde rejapókuri
ID163	Nde nderejapói	PERSON:1_PL_INC	Ñande ndajajapóikuri
ID164	Nde nderejapói	PERSON:3_PL	Ha'ekuéra ndojapóikuri
ID165	Ore rembiapo rojapopa	TENSE:PRE_SIM	Ore rembiapo rojapopa
ID166	Ore rembiapo rojapopa	PERSON:3_PL	Ha'ekuéra ojapopa hembiapo
ID167	Ore rembiapo rojapopa	TYPE:NEG	Ore rembiapo ndorojapopái  
ID168	Ore rembiapo rojapopa	TENSE:FUT_SIM	Ore rembiapo rojapopáta
ID169	Ore rembiapo rojapopa	TENSE:PAS_PLU	Ore rembiapo rojapopava'ekue
ID170	Cherasy	TENSE:PAS_REC	Cherasýkuri
ID171	Cherasy	TENSE:PAS_PLU	Cherasyva'ekue
ID172	Cherasy	TYPE:NEG	Ndacherasýi
ID173	Cherasy	ASPECT:IPFV	Cherasy'aína
ID174	Cherasy	PERSON:2_SI	Nderasy
ID175	Cherasy	PERSON:3_SI	Hasy
ID176	Cherasy	PERSON:1_PL_INC	Ñanderasy
ID177	Cherasy	PERSON:1_PL_EXC	Orerasy
ID178	Cherasy	PERSON:2_PL	Penderasy
