ID	Source	Change	Target
ID68	Che ajavy'imi heta mba'épe	TYPE:NEG	Che ndajavy'íri heta mba’épe
ID69	Che ajavy'imi heta mba'épe	ASPECT:IPFV	Che ajavy’i'aína heta mba’épe
ID70	Che ajavy'imi heta mba'épe	TENSE:FUT_SIM	Che ajavy'imíta heta mba’épe
ID71	Che ajavy'imi heta mba'épe	TENSE:PRE_SIM	Che ajavy'imi heta mba’épe
ID72	Che ajavy'imi heta mba'épe	PERSON:2_PL	Pe? pejavy'imi heta mba’épe
ID75	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	TYPE:AFF	Ore roikuave’? umi tembi’ukuéra pytagua
ID76	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	ASPECT:IPFV	Ore noroikuave’?ihína umi tembi’ukuéra pytagua
ID77	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	ASPECT:INM	Ore noroikuave’?ihikóni umi tembi’ukuéra pytagua
ID78	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	TENSE:PAS_IMP	Ore noroikuave’?imi umi tembi’ukuéra pytagua
ID79	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	PERSON:1_PL_INC	Ñande nañaikuave’?i umi tembi’ukuéra pytagua
ID80	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	PERSON:1_SI	Che naikuave’?i umi tembi’ukuéra pytagua
ID81	Ore ndoroikuave’?i umi tembi’ukuéra pytagua	PERSON:2_PL	Pe? ndaikuave’?i umi tembi’ukuéra pytagua
ID83	Nde reñembosaraireína	TYPE:NEG	Nde nereñembosaráiri
ID84	Nde reñembosaraireína	PERSON:1_SI	Che añembosarai'aína
ID85	Nde reñembosaraireína	ASPECT:INM	Nde reñembosaraireikóni
ID86	Nde reñembosaraireína	TENSE:FUT_SIM	Nde reñembosaráita
ID87	Nde reñembosaraireína	TENSE:PAS_REC	Nde reñembosaráikuri
ID88	Nde reñembosaraireína	PERSON:3_PL	Ha'ekuéra oñembosaraihína
ID89	Amo oñemúva osapukáikuri	TYPE:NEG	Amo oñemúva ndosapukáirikuri
ID90	Amo oñemúva osapukáikuri	PERSON:3_PL	Ha'e osapukáikuri
ID91	Amo oñemúva osapukáikuri	TENSE:FUT_SIM	Amo oñemúva osapukáta
ID92	Amo oñemúva osapukáikuri	ASPECT:IPFV	Amo oñemúva osapukaihína
ID93	Amo oñemúva osapukáikuri	TENSE:PAS_PLU	Amo oñemúva osapukaiva’ekue
ID94	Jaguarete katu itáicha okirir?.	PERSON:1_SI	Che itáicha akirir?
ID95	Jaguarete katu itáicha okirir?.	PERSON:2_SI	Nde itáicha rekirir?
ID96	Jaguarete katu itáicha okirir?.	TYPE:NEG	Jaguarete katu itáicha nokirir?ri
ID97	Jaguarete katu itáicha okirir?.	TENSE:FUT_SIM	Jaguarete katu itáicha okiriríta
ID98	Pakova roguépe omo’â hembi’ukuéra.	TYPE:NEG	Pakova roguépe che namo’ãi che rembi’ukuéra
ID99	Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_PL	Pakova roguépe pe? pemo’ã pene rembi’ukuéra
ID100	Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_SI	Pakova roguépe nde remo’ã pene rembi’ukuéra
ID101	Pakova roguépe omo’â hembi’ukuéra.	PERSON:1_SI	Pakova roguépe che namo’ãi pene hembi’ukuéra
ID102	Ha'e ojupíkuri	PERSON:1_SI	Che ajupíkuri
ID103	Ha'e ojupíkuri	PERSON:1_PL_INC	Ñande jajupíkuri
ID104	Ha'e ojupíkuri	ASPECT:IPFV	Ha'e ojupihína
ID105	Ha'e ojupíkuri	ASPECT:INM	Ha'e ojupihikóni
ID106	Ha'e ojupíkuri	TENSE:FUT_SIM	Ha'e ojupíta
ID107	Ha'e ojupíkuri	PERSON:2_SI	Nde rejupíkuri
ID108	Ha'e ojupíkuri	TYPE:NEG	Ha'e ndojupíri
ID109	Che mba’éma ko ykua	PERSON:2_SI	Ne mba’éma ko ykua
ID112	Che mba’éma ko ykua	TYPE:NEG	Nachemba’éi ko ykua
ID113	Che mba’éma ko ykua	TENSE:FUT_SIM	Che mba’éta ko ykua
ID114	Ha'e nembojarúta	TYPE:AFF	Ha’e nembojarúta
ID115	Ha'e nembojarúta	PERSON:2_SI	Nde rembojarúta
ID116	Ha'e nembojarúta	TENSE:PAS_REC	Ha’e nembojarúkuri
ID117	Ha'e nembojarúta	ASPECT:IPFV	Ha’e nembojaruhína
ID118	Ha'e nembojarúta	PERSON:1_SI	Che rombojarúta
ID119	Ha’e oguapy	PERSON:3_PL	Ha’ekuéra oguapy
ID120	Ha’e oguapy	TYPE:NEG	Ha’e ndoguapýi
ID121	Ha’e oguapy	PERSON:1_SI	Che aguapy
ID122	Ha’e oguapy	PERSON:2_SI	Nde reguapy
ID123	Ha’e oguapy	PERSON:2_PL	Pe? peguapy
ID124	Ha’e oguapy	TENSE:FUT_SIM	Ha’e oguapýta
ID125	Ha’e oguapy	TENSE:PAS_PLU	Ha’e oguapyva'ekue
ID126	Ha’e oguapy	TENSE:PAS_REC	Ha’e oguapýkuri
ID127	Nde neremoheñóiri	TYPE:AFF	Nde remoheñói
ID129	Nde neremoheñóiri	PERSON:1_PL_INC	Ñande nañamoheñóiri
ID130	Nde neremoheñóiri	PERSON:3_PL	Ha'ekuéra nomoheñóiri
ID131	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TYPE:AFF	Ha'e ombotujúmi che ogyke-Ha'e ombyaími che ogyke
ID132	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TENSE:PAS_REC	Ha'e nombotujúikuri che ogyke-Ha'e nombyaírikuri che ogyke
ID133	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	PERSON:2_SI	Nde nerembotujúimi che ogyke-Nde rembyaírimi che ogyke
ID134	Ha'e nombotujámi che ogyke-Ha'e nombyaírimi che ogyke	PERSON:1_PL_INC	Ñande nañambotujúimi che ogyke-Ñande nañambyaírimi che ogyke
ID135	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TENSE:FUT_SIM	Ha'e nombotujumo'ãi che ogyke-Ha'e nombyaimo'ãi che ogyke
ID136	Ha'e nombotujúimi che ogyke-Ha'e nombyaírimi che ogyke	TENSE:PAS_PLU	Ha'e nombotujúiva'ekue che ogyke-Ha'e nombyaíriva'ekue che ogyke
ID138	Ore roikómi	PERSON:2_SI	Nde reikómi
ID139	Ore roikómi	TYPE:NEG	Nde ndereikóimi
ID140	Ore roikómi	TENSE:PRE_SIM	Ore roiko
ID141	Ore roikómi	PERSON:1_SI	Che aikómi
ID142	Oipuru hikuái ka’a ha ho’u terere.	PERSON:1_PL_INC	Ñande jaiporú ka'a ha ja'u terere
ID143	Oipuru hikuái ka’a ha ho’u terere.	TYPE:NEG	Ha'ekuéra ndoiporúi ka'a ha ndo'úi terere
ID144	Oipuru hikuái ka’a ha ho’u terere.	PERSON:2_SI	Nde reiporu ka'a ha re'u terere
ID145	Oipuru hikuái ka’a ha ho’u terere.	TENSE:FUT_SIM	Ha'ekuéra oiporúta ka'a ha ho'úta  terere
ID146	Ko mombe'upy ohendukákuri chéve che ru	TYPE:NEG	Ko mombe'upy nohendukáikuri chéve che ru
ID147	Ko mombe'upy ohendukákuri chéve che ru	PERSON:2_SI	Ko mombe'upy ohendukákuri ndéve che ru
ID148	Ko mombe'upy ohendukákuri chéve che ru	PERSON:2_PL	Ko mombe'upy ohendukákuri pe?me  che ru
ID149	Ko mombe'upy ohendukákuri chéve che ru	TENSE:FUT_SIM	Ko mombe'upy ohendukáta chéve che ru
ID150	Ko mombe'upy ohendukákuri chéve che ru	TENSE:PRE_SIM	Ko mombe'upy ohenduka chéve che ru
ID151	Upérõ (che) añani'aínakuri	TENSE:PRE_SIM	Upérõ (che) añani
ID152	Upérõ (che) añani'aínakuri	TENSE:FUT_SIM	Upérõ (che) añaníta
ID153	Upérõ (che) añani'aínakuri	TENSE:PAS_PLU	Upérõ (che) añaniva'ekue
ID154	Upérõ (che) añani'aínakuri	PERSON:2_SI	Upérõ (nde) reñanireínakuri
ID155	Upérõ (che) añani'aínakuri	PERSON:1_PL_INC	Upérõ (ore) roñanroínakuri
ID156	Oik?mbymi hikuái	TENSE:PAS_REC	Oik?mbýkuri hikuái
ID157	Oik?mbymi hikuái	TENSE:FUT_SIM	Oik?mbýta hikuái
ID158	Oik?mbymi hikuái	PERSON:1_PL_INC	Ñaik?mbými
ID159	Oik?mbymi hikuái	PERSON:1_SI	Che aik?mbými
ID160	Oik?mbymi hikuái	TYPE:NEG	Noik?mbýrimi hikuái
ID161	Nde nderejapói	TYPE:AFF	Nde rejapo
ID163	Nde nderejapói	PERSON:1_PL_INC	Ñande ndajajapóikuri
ID164	Nde nderejapói	PERSON:3_PL	Ha'ekuéra ndojapóikuri
ID165	Ore rembiapo rojapopa	TENSE:PRE_SIM	Ore rembiapo rojapopa
ID166	Ore rembiapo rojapopa	PERSON:3_PL	Ha'ekuéra ojapopa hembiapo
ID167	Ore rembiapo rojapopa	TYPE:NEG	Ore rembiapo ndorojapopái
ID168	Ore rembiapo rojapopa	TENSE:FUT_SIM	Ore rembiapo rojapopáta
ID169	Ore rembiapo rojapopa	TENSE:PAS_PLU	Ore rembiapo rojapopava'ekue
ID170	Cherasy	TENSE:PAS_REC	Cherasýkuri
ID171	Cherasy	TENSE:PAS_PLU	Cherasyva'ekue
ID172	Cherasy	TYPE:NEG	Ndacherasýi
ID173	Cherasy	ASPECT:IPFV	Cherasy'aína
ID174	Cherasy	PERSON:2_SI	Nderasy
ID175	Cherasy	PERSON:3_SI	Hasy
ID176	Cherasy	PERSON:1_PL_INC	Ñanderasy
ID177	Cherasy	PERSON:1_PL_EXC	Orerasy
ID178	Cherasy	PERSON:2_PL	Penderasy
ID179	Ha'ekuéra oúmi	PERSON:3_SI	Ha'e oúmi
ID180	Ha'ekuéra oúmi	TYPE:NEG	Ha'ekuéra ndoúimi
ID181	Ha'ekuéra oúmi	ASPECT:INM	Ha'ekuéra ouhikóni
ID182	Ha'ekuéra oúmi	PERSON:2_PL	Pe? pejúmi
ID183	Ha'ekuéra oúmi	PERSON:1_PL_EXC	Ore rojúmi
ID184	Ha'ekuéra oúmi	TENSE:PAS_PLU	Ha'ekuéra oúva'ekue
ID185	Ha'ekuéra oúmi	TENSE:FUT_SIM	Ha'ekuéra oúta
ID186	Ha'ekuéra oúmi	TENSE:PRE_SIM	Ha'ekuéra ou 
ID187	Nde regueroviáta	PERSON:1_SI	Che agueroviáta
ID188	Nde regueroviáta	PERSON:3_PL	Ha'ekuéra ogueroviáta
ID189	Nde regueroviáta	PERSON:2_PL	Pe? pegueroviáta
ID190	Nde regueroviáta	TENSE:PAS_IMP	Nde agueroviámi
ID191	Nde regueroviáta	TENSE:PAS_REC	Nde regueroviákuri
ID192	Nde regueroviáta	PERSON:1_PL_EXC	Ore regueroviáta
ID193	Nde regueroviáta	TENSE:PRE_SIM	Nde reguerovia
ID194	Nde regueroviáta	TYPE:NEG	Che nderegueroviái
ID195	Ha’ekuéra omano	TENSE:FUT_SIM	Ha'ekuéra omanóta
ID196	Ha’ekuéra omano	TYPE:NEG	Ha'ekuéra nomanói
ID197	Ha’ekuéra omano	ASPECT:IPFV	Ha'ekuéra omanohína
ID198	Ha’ekuéra omano	TENSE:PAS_REC	Ha'ekuéra omanókuri
ID199	Ha’ekuéra omano	PERSON:2_PL	Pe? pemano
ID200	Ha’ekuéra omano	PERSON:1_SI	Che amano
ID201	Ha’ekuéra omano	PERSON:1_PL_EXC	Ore romano
ID202	Ha’ekuéra oguah?mi	TYPE:NEG	Ha'ekuérapa nog?uah?imi
ID203	Ha’ekuéra oguah?mi	PERSON:3_SI	Ha'e og?uah?mi
ID204	Ha’ekuéra oguah?mi	PERSON:1_PL_INC	Ñande ñag?uah?mi
ID205	Ha’ekuéra oguah?mi	PERSON:2_SI	Nde reg?uah?mi
ID206	Ha’ekuéra oguah?mi	TENSE:PRE_SIM	Ha'ekuéra og?uah?
ID207	Ha’ekuéra oguah?mi	TENSE:FUT_SIM	Ha'ekuéra og?uah?ta
ID208	Ha’ekuéra oguah?mi	TENSE:PAS_REC	Ha'ekuéra og?uah?kuri
ID209	Ñande ñambohape ñande rekove	PERSON:1_PL_EXC	Ore rombohape ore rekove
ID210	Ñande ñambohape ñande rekove	TENSE:PRE_SIM	Ñande ñambohape ñande rekove
ID211	Ñande ñambohape ñande rekove	TYPE:NEG	Ñande nañambohapéi ñande rekove
ID212	Ñande ñambohape ñande rekove	TENSE:PAS_IMP	Ñande ñambohapémi ñande rekove
ID213	Ñande ñambohape ñande rekove	ASPECT:IPFV	Ñande ñambohapeñaína ñande rekove
ID214	Ñande ñambohape ñande rekove	PERSON:3_SI	Ha’e ombohape hekove
ID215	Ha'ekuéra nomyanyh?mo'ãi	PERSON:2_SI	Nde neremyanyh?mo’ãi
ID216	Ha'ekuéra nomyanyh?mo'ãi	PERSON:1_PL_EXC	Ore Noromyanyh?mo’ãi
ID217	Ha'ekuéra nomyanyh?mo'ãi	TENSE:PAS_PLU	Ha’ekuéra nomyanyh?iva’ekue
ID218	Ha'ekuéra nomyanyh?mo'ãi	TYPE:AFF	Ha’ekuéra omyanyh?ta
ID219	Ha'ekuéra nomyanyh?mo'ãi	ASPECT:IPFV	Ha’ekuéra omyanyh?hína
ID220	Ha'ekuéra nomyanyh?mo'ãi	TENSE:PRE_SIM	Ha’ekuéra omyanyh?
ID221	Upéguintema ojeraha chupe tasyópe	PERSON:1_SI	Upéguintema araha chupe tasyópe
ID222	Upéguintema ojeraha chupe tasyópe	TENSE:FUT_SIM	Upéguintema ojeraháta chupe tasyópe
ID223	Upéguintema ojeraha chupe tasyópe	TENSE:PAS_PLU	Upéguintema ojerahava’ekue chupe tasyópe
ID224	Upéguintema ojeraha chupe tasyópe	ASPECT:IPFV	Upéguintema ojerahahína chupe tasyópe
ID225	Upéguintema ojeraha chupe tasyópe	PERSON:2_PL	Upéguintema peraha chupe tasyópe
ID226	Upéguintema ojeraha chupe tasyópe	TYPE:NEG	Upéguintema ndojerahái chupe tasyópe
ID227	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:3_SI	Upe pyhare mbohapyhápe oñembo’e 
ID228	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:2_PL	Upe pyhare mbohapyhápe peñembo’e
ID229	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:2_SI	Upe pyhare mbohapyhápe reñembo’e
ID230	Upe pyhare mbohapyhápe oñembo’e hikuái	TENSE:FUT_SIM	Upe pyhare mbohapyhápe oñembo’éta hikuái
ID231	Upe pyhare mbohapyhápe oñembo’e hikuái	ASPECT:IPFV	Upe pyhare mbohapyhápe oñembo’ehína hikuái
ID232	Upe pyhare mbohapyhápe oñembo’e hikuái	PERSON:1_SI	Upe pyhare mbohapyhápe añembo’e
ID233	Upe pyhare mbohapyhápe oñembo’e hikuái	TYPE:NEG	Upe pyhare mbohapyhápe noñembo’éi hikuái
ID234	Pe? pekakuaákuri	TYPE:NEG	Pe? ndapekakuaáikuri
ID235	Pe? pekakuaákuri	PERSON:2_SI	Nde rekakuaákuri
ID236	Pe? pekakuaákuri	PERSON:3_SI	Ha’e okakuaákuri
ID237	Pe? pekakuaákuri	PERSON:1_PL_EXC	Ore rokakuaákuri
ID238	Pe? pekakuaákuri	PERSON:1_SI	Che akakuaákuri
ID239	Pe? pekakuaákuri	TENSE:FUT_SIM	Pe? pekakuaáta
ID240	Pe? pekakuaákuri	TENSE:PRE_SIM	Pe? pekakuaákuri
ID241	Pe? pekakuaákuri	ASPECT:IPFV	Pe? pekakuaahína
ID242	Ko’ag?aite ndaikatúi ahecha ndéve	TYPE:AFF	Ko’ag?aite ikatu ahecha ndéve
ID243	Ko’ag?aite ndaikatúi ahecha ndéve	PERSON:1_PL_INC	Ko’ag?aite ndaikatúi jahecha ndéve
ID244	Ko’ag?aite ndaikatúi ahecha ndéve	PERSON:3_PL	Ko’ag?aite ndaikatúi ohecha ndéve hikuái
ID245	Ko’ag?aite ndaikatúi ahecha ndéve	PERSON:1_PL_EXC	Ko’ag?aite ndaikatúi rohecha ndéve
ID246	Ko’ag?aite ndaikatúi ahecha ndéve	TENSE:FUT_SIM	Ko’ag?aite ndaikatumo'ãi ahecha ndéve
ID247	Ko’ag?aite ndaikatúi ahecha ndéve	TENSE:PAS_REC	Ko’ag?aite ndaikatúikuri ahecha ndéve
ID248	Nde reimo’ãta	PERSON:1_SI	Nde aimo’ãta
ID249	Nde reimo’ãta	PERSON:3_PL	Ha'e oimo’ãta
ID250	Nde reimo’ãta	PERSON:2_PL	Pe? peimo’ãta
ID251	Nde reimo’ãta	TENSE:PAS_IMP	Nde reimo’ãmi
ID252	Nde reimo’ãta	TENSE:PAS_REC	Nde reimo’ãkuri
ID253	Nde reimo’ãta	PERSON:1_PL_EXC	Ore roimo’ãta
ID254	Nde reimo’ãta	TENSE:PRE_SIM	Ore roimo’ã
ID255	Nde reimo’ãta	TYPE:NEG	Ore noroimo’ãi
ID256	Nde reroviáta	PERSON:1_SI	Che aroviáta
ID257	Nde reroviáta	PERSON:3_PL	Ha’ekuéra oroviáta
ID258	Nde reroviáta	PERSON:2_PL	Pe? peroviáta
ID259	Nde reroviáta	TENSE:PAS_IMP	Nde aroviava’ekue
ID260	Nde reroviáta	TENSE:PAS_REC	Nde reroviákuri
ID261	Nde reroviáta	PERSON:1_PL_EXC	Ore roroviákuri
ID262	Nde reroviáta	TENSE:PRE_SIM	Nde rerovia
ID263	Nde reroviáta	TYPE:NEG	Nde ndereroviái
ID264	Pe? pehasáta	PERSON:2_SI	Nde rehasáta
ID265	Pe? pehasáta	TYPE:NEG	Pe? ndapehasái
ID266	Pe? pehasáta	PERSON:1_SI	Pe? pehasáta
ID267	Pe? pehasáta	PERSON:1_PL_INC	Ñande jahasáta
ID268	Pe? pehasáta	TENSE:PAS_REC	Pe? pehasákuri
ID269	Pe? pehasáta	TENSE:PRE_SIM	Pe? pehasa
ID270	Pe? pehasáta	ASPECT:IPFV	Pe? pehasahína
ID271	Pe? pehasáta	PERSON:3_SI	Ha’e ohasáta
ID272	Ha’ekuéra opóta	TENSE:PAS_PLU	Ha’ekuéra opova’ekue
ID273	Ha’ekuéra opóta	TENSE:PRE_SIM	Ha’ekuéra opo
ID274	Ha’ekuéra opóta	TYPE:NEG	Ha’ekuéra ndopói
ID275	Ha’ekuéra opóta	ASPECT:IPFV	Ha’ekuéra opohína
ID276	Ha’ekuéra opóta	PERSON:2_PL	Pe? pepóta
ID277	Ha’ekuéra opóta	PERSON:1_PL_INC	Ñande japóta
ID278	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TYPE:AFF	Umi ho’úva ka’avojehe’a ndaikyramo'ãi
ID279	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TENSE:PAS_PLU	Umi ho'uva'ekue ka’avojehe’a ndaikyramo'ãi
ID280	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TENSE:PAS_REC	Umi ho’úvakuri ka’avojehe’a ndaikyramo'ãi
ID281	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	TENSE:PRE_SIM	Umi ho’úva ka’avojehe’a ndaikyramo'ãi
ID282	Umi ho'uva ka'avojehe'a ndaikyramo'ãi	PERSON:3_SI	Ha’e ho’úva ka’avojehe’a ndaikyramo'ãi
ID283	Nde nerembyaírikuri	PERSON:2_PL	Pe? napembyaírikuri
ID284	Nde nerembyaírikuri	PERSON:1_SI	Che nambyaírikuri
ID285	Nde nerembyaírikuri	PERSON:3_SI	Ha’e nombyaírikuri
ID286	Nde nerembyaírikuri	TYPE:AFF	Nde rembyaíkuri
ID287	Nde nerembyaírikuri	TENSE:FUT_SIM	Nde rembyaíta
ID288	Nde nerembyaírikuri	TENSE:PRE_SIM	Nde nerembyaíri
ID289	Nde ru no?rikuri	PERSON:3_PL	Ha'ekuéra no?rikuri
ID290	Nde ru no?rikuri	TYPE:AFF	Nde ru o?kuri
ID291	Nde ru no?rikuri	TENSE:FUT_SIM	Nde ru o?ta
ID292	Nde ru no?rikuri	TENSE:PRE_SIM	Nde ru o?
ID293	Nde ru no?rikuri	TENSE:PAS_IMP	Nde ru o?mi
ID294	Nde ru no?rikuri	TENSE:PAS_PLU	Nde ru no?riva’ekue
ID295	Ha'ekuéra oikyt?mi pende yvyrakuéra	TENSE:FUT_SIM	Ha’ekuéra oikyt?ta pende yvyrakuéra
ID296	Ha'ekuéra oikyt?mi pende yvyrakuéra	TENSE:PRE_SIM	Ha’ekuéra oikyt? pende yvyrakuéra
ID297	Ha'ekuéra oikyt?mi pende yvyrakuéra	PERSON:3_SI	Ha’e oikyt?mi pende yvyrakuéra
ID298	Ha'ekuéra oikyt?mi pende yvyrakuéra	PERSON:1_PL_INC	Ñande ñaikyt?mi pende yvyrakuéra
ID299	Ha'ekuéra oikyt?mi pende yvyrakuéra	PERSON:1_SI	Che aikyt?mi pende yvyrakuéra
ID300	Ha'ekuéra oikyt?mi pende yvyrakuéra	TYPE:NEG	Ha’ekuéra noikyt?rimi pende yvyrakuéra
ID301	Ha'ekuéra oikyt?mi pende yvyrakuéra	TENSE:PAS_REC	Ha’ekuéra oikyt?kuri pende yvyrakuéra
ID302	Ha'ekuéra oikyt?mi pende yvyrakuéra	ASPECT:INM	Ha’ekuéra oikyt?hikóni pende yvyrakuéra
ID303	Oñapyt? ikyha tatakua kótare	PERSON:1_SI	Che añapyt? ikyha tatakua kótare
ID304	Oñapyt? ikyha tatakua kótare	PERSON:1_PL_INC	Ñande ñañapyt? ikyha tatakua kótare
